longitude,latitude,housing_median_age,total_rooms,total_bedrooms,population,households,median_income,bedrooms_per_rooms,bedrooms_per_household,ocean_proximity,median_house_value
-1.3480709861617364,0.8764057339124997,0.7904315027170068,-0.1944343576040382,-0.15954366848354956,0.40580404299860784,-0.13423689243686315,-0.8421923270795475,0.005485712855933524,-0.10291532034828174,NEAR BAY,157300.0
-1.5346310693627243,1.062545537062955,-0.17066281749610931,1.0136570413100179,0.7434018816991579,0.3751352860066766,0.8328936963323115,2.044424173589574,-0.6996401363911178,-0.12362128343055766,NEAR BAY,413100.0
-1.4942937540760255,1.0020501010390568,0.7904315027170068,-0.16516639602020905,-0.3881965468243902,-0.5202220361744265,-0.35485554133381014,1.5009009812816088,-0.8950393902490253,-0.14781200085336157,NEAR BAY,349000.0
-1.3026915064641977,1.1044269927718053,-0.6075238721384348,-0.4344316425914374,-0.45352594063605894,-0.5253334956730817,-0.43181553513507076,0.023863227220331424,-0.12409215781105341,-0.1303574995859345,NEAR BAY,211800.0
-1.5043780828976985,1.006703596117817,0.6156870808600766,0.061772875337481714,-0.14087812739450134,-0.2731681604060917,-0.16502088995736738,0.9629619313603693,-0.7457033757090444,-0.004920206194928671,NEAR BAY,420300.0
-1.4388299455568139,1.1137339829293293,1.3146647682877974,-0.5127797243696878,-0.5165221418115966,-0.1717908803494302,-0.33946354257355804,-0.6882753909488791,-0.014855706918203045,-0.4916124104319213,NEAR BAY,85100.0
-1.2875650132316918,0.9182871896213531,-1.3065015595661555,1.3729775542930283,1.2053740236531012,1.672594088748656,1.4049629835883486,1.0262488784099264,-0.5131005607392148,-0.19089846751685544,NEAR BAY,231200.0
-1.4640407676109997,1.1183874780080898,0.5283148699316115,-1.1823406301412873,-1.2631437853735252,-1.2349744560697125,-1.2783754669489371,0.27983517938426217,-1.4338043344012215,-1.1681967846396641,NEAR BAY,212500.0
-1.3531131505725764,1.0160105862753412,1.926270244787053,-0.8000560242232725,-0.8641678445951196,-0.8558745432527849,-0.8422688354084605,0.11937131769674292,-0.2877232628286702,-0.2517655027602485,NEAR BAY,140600.0
-1.413619123502628,1.0299710715116257,-0.6075238721384348,-0.8261720514826894,-0.9014989267732161,-1.007514508379556,-0.9654048254904775,-0.7740914641793643,-0.38768121116609516,0.24121055204376513,NEAR BAY,137500.0
-1.3178179996967105,0.9694756354877273,0.965175924573937,-0.401111194019078,-0.3135343824681973,-0.3506919628023623,-0.2804608806592583,-0.380505704232217,0.34132505027258664,-0.1360594010472327,NEAR BAY,180900.0
