391.3809287267329,1419.220907056051,0.12061633315713344,-2.3510601468643584,0.40676465329858,0.23136497511127002,0.5687932155241614;99.89487627501006,1428.272083541858,0.5878242410007207,0.8003822744943063,0.32431500756160486,0.20843830620051598,0.6427032401851535
387.8339477714675,1362.5150024333675,1.3525615390627113,2.155563989487575,0.4853023688040258,0.1762093875475602,0.36309195848725984;354.1138426127969,1310.284266524253,0.52228402286572,-0.9575506739552568,0.3528281904876087,0.247862684270735,0.7025024954162212
408.1712961392557,1309.275946089288,0.15133661429608558,-0.8450361505545644,0.3366682735410857,0.12213792388821561,0.3627841810086996;147.0109863649681,1299.5252939392908,0.778200037172542,2.2859497962774142,0.20736903592955996,0.1357249342402328,0.6545091634911995
416.60617491703084,1461.7972704944416,0.545222172778562,0.8452245807834381,0.47228600745261107,0.2870367770157153,0.6077604936125837;125.37412225415582,1467.8000326233134,0.9975114681081453,-2.3002312011906048,0.33709756485185194,0.252698942806811,0.7496314692094185
555.4819490226478,1519.143838354025,0.24615874067028626,-2.937063806770308,0.4490021918437177,0.32798126274248296,0.7304669525012966;213.67779817987682,1497.9305418306283,0.08877141589250473,0.20167877512565657,0.4623671489510269,0.397313544260779,0.859303142885832
394.9353308023977,1363.2385593446218,1.060208244086735,-3.0347153784167653,0.3035186895853683,0.1127775150387405,0.37156695422217306;177.66628063591722,1287.2016277495145,0.15298210494669653,0.1812334262034103,0.5433078065155993,0.4394402253091143,0.8088236908049972
433.2990384249707,1397.730157791553,1.4866986469493844,2.804054151766834,0.2420277604101538,0.15161435538326873,0.6264337410152231;177.11836940024125,1422.1808822090811,0.8181677146859189,-0.3801688515104482,0.3061908169239205,0.2809378223415822,0.9175253038741105
173.34421144647388,703.4470128289693,1.2295896300026037,-0.9642243735649421,0.671403479383348,0.5055526267816935,0.7529788604104637;125.17795560720626,596.7905008711181,1.582782158543713,2.309214525258491,0.39923055738689944,0.278463117661295,0.6974995087648885
403.4921089426655,1500.2785959364348,0.3002378763437339,-0.6326949054843527,0.3813879547538979,0.20770735837076404,0.5446091198784542;157.4721813527712,1428.7669571347176,0.7323341499986762,2.365182122473477,0.2047436344611092,0.13721466496143858,0.67017792920689
197.53334911098034,1155.6460253576784,0.48818501460319946,1.7588589566718886,0.3329821440462714,0.18579657340728128,0.5579775874752698;173.01884265648724,1546.2347431257,0.014125961996020711,-1.3445805801903825,0.3508460159786142,0.2859507969778634,0.8150321906328659
